Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbCtlR4,RbTrtR1,RbTrtR2,RbTrtR3,RbTrtR4,RbTrtR5,RbTrtR6,RbTrtR7,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4,RnaTrtR5,RnaTrtR6
FBgn0037294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0259212,335,358,512,269,394,261,354,228,410,260,158,12340,12772,14441,12536,13508,11242,13695,11341,12203
FBgn0037296,0,1,0,1,0,0,0,0,0,0,0,4,4,10,7,7,7,9,5,6
FBgn0037297,62,69,75,38,89,41,52,47,74,61,33,1843,1773,1918,1651,1666,1522,1923,1778,1709
FBgn0037298,69,140,138,61,175,95,101,93,109,62,45,4641,4376,5006,3966,3822,3704,4725,4253,3984
FBgn0040682,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,4,4
FBgn0037299,68,95,113,50,109,78,67,63,87,70,30,1168,1049,1193,1055,1054,1013,1202,1148,1088
FBgn0040208,200,243,298,141,247,175,220,115,213,121,93,5365,4831,5703,4743,4558,4935,5716,5255,4473
FBgn0037301,145,231,251,115,238,128,176,72,144,93,50,2715,2680,3080,2600,2696,2344,2903,2667,2503
FBgn0087005,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,2,1,1,0,4
FBgn0260462,764,972,950,526,1305,613,800,481,861,578,334,10444,9519,10951,10205,9452,10020,11345,10347,8838
FBgn0053293,0,0,0,0,0,0,0,0,0,0,0,6,12,4,17,5,6,13,6,19
FBgn0037304,0,3,0,0,0,0,0,0,0,0,0,25,27,46,31,38,31,33,26,25
FBgn0037305,107,163,190,113,251,172,177,98,186,103,79,1559,1600,1661,1494,1586,1385,1701,1772,1491
FBgn0264785,55,62,75,29,85,31,60,71,50,31,21,8360,7610,8789,6834,6812,6553,7794,7232,6351
FBgn0037307,2,0,0,0,0,0,0,3,0,0,0,5,3,5,5,4,6,2,3,6
FBgn0013576,1477,2021,1506,1136,1728,811,1073,612,1324,859,601,19268,18757,21952,20724,20011,19440,22913,20034,18206
FBgn0051538,0,2,0,0,0,0,0,0,0,0,0,6,17,14,27,27,14,20,20,40
FBgn0037310,1,0,0,0,0,0,0,0,0,0,4,6,5,4,9,13,7,7,10,14
