Entry,RbCtlR1,RbCtlR2,RbCtlR3,RbTrtR1,RbTrtR2,RbTrtR3,RnaCtlR1,RnaCtlR2,RnaCtlR3,RnaCtlR4,RnaTrtR1,RnaTrtR2,RnaTrtR3,RnaTrtR4
Ascl1,20,19,21,13,11,17,102,92,102,106,105,116,92,105
Mas1,36,51,45,26,36,37,304,307,291,357,256,330,221,281
Mapkapk2,78,125,115,85,77,100,510,527,487,581,556,619,446,570
Ppp2r5c,346,423,425,333,369,380,4309,4288,4217,4968,4549,5244,3970,4529
Gm3448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbc1d21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commd4,166,273,242,201,230,224,260,258,288,337,426,457,265,390
Them5,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Utp23,35,53,52,38,38,33,192,174,146,118,127,142,157,120
Ppcs,8,13,17,12,19,8,101,83,61,70,61,76,72,69
Mrpl19,153,172,189,153,189,162,583,497,481,522,532,598,502,549
Hormad1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tctn2,82,101,91,61,53,86,252,257,242,374,353,400,228,369
Tppp3,134,207,209,149,210,174,492,536,452,514,417,485,368,445
Ooep,3,0,3,3,1,1,0,6,3,2,2,2,2,6
U2surp,380,540,504,365,401,390,2651,2838,2357,2296,2449,2804,2288,2271
Foxi1,0,0,0,0,0,0,1,4,2,4,1,2,1,0
Plekhj1,96,99,106,122,136,119,284,274,266,263,293,352,286,297
Cux1,295,401,453,303,319,291,2989,2938,2652,3261,3324,3694,2729,3152
Gm45927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpv17,193,200,216,137,150,159,721,701,741,883,794,825,648,740
Ankrd23,0,1,0,0,0,0,27,44,35,29,36,38,16,32
Hsf3,0,0,0,0,0,0,3,2,1,2,2,3,4,3
Radil,59,77,89,60,79,68,115,129,102,109,152,190,106,167
Nanog,0,0,0,0,1,0,1,1,0,2,2,3,0,0
Nit1,122,158,172,152,153,144,299,277,302,324,326,345,261,273
Rnf25,158,248,230,146,181,179,417,388,358,448,397,409,290,354
Tmem33,475,620,648,538,603,588,3503,3951,3277,3100,3499,4139,3581,3460
Slc6a18,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cd300lg,0,0,2,0,2,1,7,5,5,5,6,7,1,10
Osgin1,1,1,2,3,4,3,7,3,8,1,9,13,3,4
1110017D15Rik,7,8,7,5,6,4,37,38,20,26,33,28,27,30
Krtap21-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
