gene_name,tpm_rbctr1,tpm_rbctr2,tpm_rbctr3,tpm_rnactr1,tpm_rnactr2,tpm_rnactr3,tpm_rnactr4,avg_rpf,avg_rna
Zscan2,10.76122,13.48842,10.37447,4.98551,5.52331,5.81996,6.37353,11.54137,5.67558
Col6a1,44.61969,49.78813,51.10387,26.39067,25.88374,21.73576,18.90269,48.5039,23.22821
Ctrc,0.0,0.59508,0.19212,0.0,0.0,0.0,0.0,0.2624,0.0
Stk31,0.78741,1.19015,1.15272,0.16257,0.05415,0.23755,0.2179,1.04343,0.16804
Hnrnpa1,19.16022,19.83591,14.02475,8.12854,7.58101,6.47322,3.97665,17.67363,6.53985
Bcl6b,1.31234,1.58687,1.34484,2.43856,1.78695,2.31611,2.34241,1.41469,2.22101
Sln,0.0,0.0,0.76848,0.48771,0.5415,0.59387,0.54475,0.25616,0.54196
Irx4,0.0,0.0,0.76848,0.0,0.05415,0.0,0.0,0.25616,0.01354
Zfp455,0.78741,0.9918,1.34484,4.49779,5.63161,4.27589,4.0856,1.04135,4.62272
Akna,1.04988,2.38031,2.11332,3.19723,3.73636,4.09772,4.0856,1.84783,3.77923
Rp1,0.26247,1.19015,0.9606,0.16257,0.2166,0.35632,0.2179,0.80441,0.23835
Swsap1,2.36222,2.38031,2.30544,12.13862,12.02132,11.34298,14.27235,2.34932,12.44382
Gjb4,0.52494,0.19836,0.38424,0.0,0.0,0.0,0.0,0.36918,0.0
Myh15,1.04988,1.38851,1.53696,3.03466,2.9241,2.96937,3.10505,1.32512,3.00829
LOC114841036,7.61159,6.94257,7.87691,1.46314,0.9747,1.30652,0.54475,7.47703,1.07228
Cd200r1,1.04988,0.39672,1.34484,1.08381,0.6498,0.59387,1.03502,0.93048,0.84062
Tcaf2,3.67456,1.78523,1.9212,1.35476,0.9747,1.06897,0.81712,2.46033,1.05389
Map3k19,5.77431,6.74421,7.30055,5.68998,5.52331,6.82954,6.6459,6.60636,6.17218
Uhrf1,6.82419,3.3721,4.41876,1.51733,1.78695,1.84101,1.74319,4.87168,1.72212
Tcp11,0.52494,0.59508,0.38424,0.37933,0.3249,0.23755,0.27237,0.50142,0.30354
C4a,0.0,0.79344,0.76848,0.32514,0.16245,0.17816,0.05447,0.52064,0.18006
Sstr5,1.31234,1.38851,1.72908,1.40895,1.5162,1.18775,0.54475,1.47665,1.16441
Ngb,3.93703,4.95898,3.45816,7.58664,8.50156,9.44258,8.77041,4.11806,8.5753
Cep162,15.22319,10.31467,8.64539,14.08947,13.64582,12.29317,13.7276,11.39442,13.43902
Lmnb1,26.50935,33.52269,25.1677,9.97101,8.66401,6.71077,5.99221,28.39991,7.8345
P4ha3,4.72444,2.57867,4.03452,2.81789,3.30315,2.90998,3.75875,3.77921,3.19744
Epha1,1.31234,0.59508,1.15272,0.5419,0.8664,0.59387,0.6537,1.02005,0.66397
Dse,4.98691,3.3721,4.41876,12.95148,12.94187,11.75869,12.09336,4.25926,12.43635
Bhlhe22,27.03428,27.96863,28.62585,70.17642,74.61881,69.30499,61.88316,27.87626,68.99584
Zkscan4,3.67456,7.53765,5.37935,8.02016,7.25611,7.60158,5.28404,5.53052,7.04047
C9,0.0,0.39672,0.0,0.0,0.0,0.0,0.0,0.13224,0.0
Sbk2,0.0,0.39672,0.0,0.16257,0.1083,0.05939,0.05447,0.13224,0.09618
Fstl3,0.0,0.39672,0.0,0.37933,0.1083,0.17816,0.4358,0.13224,0.2754
Kcne3,0.0,0.39672,0.0,0.32514,0.27075,0.05939,0.10895,0.13224,0.19106
Efcab11,0.0,1.19015,0.0,0.5419,0.37905,0.83142,0.16342,0.39672,0.47895
Prss55,0.0,0.39672,0.0,0.0,0.0,0.0,0.0,0.13224,0.0
Odf3l2,0.0,0.39672,0.0,0.27095,0.05415,0.11877,0.27237,0.13224,0.17906
